시도,시군구,사고건수[건],사망자수[명],부상자수[명],중상자[명],경상자[명],연도,일,월,화,수,목,금,토,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시,Severity
서울,강동구,1151,7,1553,302,1169,2022,112,170,165,178,184,183,159,51,23,35,70,104,110,126,112,149,163,122,86,0.19446233097231166
서울,강서구,1502,11,2208,489,1546,2018,174,204,198,223,240,225,238,95,67,82,96,145,119,130,132,176,165,171,124,0.22146739130434784
울산,동구,507,6,641,190,445,2018,57,66,69,78,81,85,71,26,16,18,56,31,30,31,61,72,69,58,39,0.296411856474259
충남,서천군,256,17,401,109,288,2021,30,40,37,34,37,53,25,4,4,5,16,30,36,39,38,31,26,19,8,0.2718204488778055
충남,계룡시,54,2,87,21,65,2020,7,8,6,4,11,14,4,0,1,0,1,5,3,6,8,9,14,5,2,0.2413793103448276
부산,사상구,921,11,1226,274,801,2020,91,147,150,124,136,147,126,38,15,30,61,101,118,78,107,120,129,65,59,0.2234910277324633
충남,서천군,289,14,416,108,301,2020,30,34,42,49,39,49,46,7,5,3,19,34,46,41,39,24,26,29,16,0.25961538461538464
전남,영암군,323,14,527,80,440,2021,40,56,36,46,45,56,44,9,4,7,22,27,40,47,39,49,49,17,13,0.15180265654648956
강원,동해시,296,4,419,97,320,2020,36,50,33,42,49,44,42,6,6,7,18,33,28,42,37,43,32,25,19,0.2315035799522673
경북,포항시,2777,33,4269,839,3187,2019,328,410,400,424,412,401,402,84,75,48,136,274,298,291,318,371,435,267,180,0.19653314593581636
