시도,시군구,사고건수[건],사망자수[명],부상자수[명],중상자[명],경상자[명],연도,일,월,화,수,목,금,토,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시,Class
강원,인제군,89,5,151,42,90,2022,16,8,11,14,8,14,18,1,0,1,2,12,7,20,17,16,4,6,3,True
전북,부안군,298,18,516,152,362,2019,33,49,47,45,28,59,37,3,3,7,21,36,39,43,40,33,40,24,9,True
충북,괴산군,190,10,297,115,166,2019,25,28,31,29,31,19,27,3,3,2,12,20,16,34,26,39,21,10,4,True
경기,하남시,1082,17,1605,303,1087,2019,138,148,157,166,137,177,159,33,24,22,56,120,108,121,132,139,147,105,75,False
대구,북구,2358,25,3414,793,2313,2018,238,369,354,349,299,388,361,104,64,80,142,253,192,182,245,316,366,240,174,False
전남,장성군,225,8,367,77,264,2018,19,35,32,33,37,33,36,3,3,3,19,26,39,30,36,35,16,10,5,False
경남,양산시,1232,18,1608,355,1083,2022,160,157,185,161,183,206,180,39,30,21,72,123,115,138,156,184,168,113,73,False
강원,홍천군,329,18,564,121,427,2021,57,59,44,49,38,35,47,7,0,7,19,38,50,44,48,54,32,20,10,False
대구,북구,2413,22,3544,772,2470,2019,239,370,372,352,345,379,356,75,38,48,139,238,251,279,252,326,387,228,152,False
경기,용인시,3485,34,5698,1009,3916,2019,340,529,495,540,569,527,485,128,74,81,241,423,331,348,385,440,471,324,239,False
전남,영광군,245,16,361,106,245,2018,37,46,41,26,34,39,22,7,4,6,12,29,38,32,31,26,32,16,12,True
경기,화성시,3008,33,4782,900,3594,2019,273,444,498,489,426,498,380,131,58,76,251,319,297,270,310,387,399,316,194,False
경북,울진군,149,8,204,98,98,2018,21,13,20,19,29,25,22,1,2,2,5,12,26,17,26,23,14,10,11,True
경기,하남시,977,9,1443,286,997,2018,100,141,141,136,154,169,136,32,18,16,70,101,112,96,110,134,137,79,72,False
경남,의령군,126,5,175,62,107,2020,13,10,19,17,25,27,15,1,2,1,8,18,18,19,19,18,11,7,4,True
충북,보은군,165,13,294,112,167,2019,18,33,23,28,16,25,22,4,2,4,11,15,27,21,27,20,15,16,3,True
전남,구례군,142,7,228,62,152,2019,13,17,27,18,23,31,13,1,0,0,6,11,26,27,26,25,11,8,1,True
경기,과천시,208,4,354,40,295,2022,22,33,36,24,33,28,32,3,3,4,20,25,25,22,27,26,28,20,5,False
경남,함안군,327,17,494,147,327,2019,36,45,53,53,44,45,51,6,5,6,24,47,30,43,48,44,43,22,9,True
경기,오산시,962,10,1409,355,923,2018,102,139,145,143,127,167,139,56,37,22,70,94,86,88,83,110,135,101,80,True
경북,문경시,344,15,522,101,394,2020,43,56,44,56,57,45,43,12,2,7,17,33,50,40,57,46,36,27,17,False
경기,용인시,3262,35,5066,793,3653,2020,313,507,476,460,498,518,490,125,63,93,198,332,297,360,385,423,446,326,214,False
경기,동두천시,406,11,576,166,382,2018,49,59,65,58,59,56,60,18,4,7,20,48,55,43,30,51,65,38,27,True
전북,정읍시,379,17,585,143,441,2021,37,56,59,61,48,66,52,16,6,4,7,45,45,52,40,63,47,32,22,False
강원,고성군,129,2,206,44,119,2020,14,16,22,12,17,24,24,1,0,1,7,17,21,13,26,18,15,7,3,False
전남,영광군,190,12,311,78,216,2020,18,37,27,31,21,32,24,6,2,4,12,23,18,32,25,24,27,13,4,True
강원,원주시,1905,20,3040,619,2258,2018,208,273,313,281,272,279,279,83,43,40,92,233,179,180,182,273,290,157,153,False
경북,청송군,95,10,142,52,85,2018,14,14,20,14,7,10,16,1,0,1,6,11,18,14,12,18,8,3,3,True
경기,여주시,538,14,929,155,735,2021,57,74,79,73,85,91,79,8,7,9,33,47,61,74,80,73,68,54,24,False
전남,진도군,123,6,221,73,131,2018,10,23,14,18,19,19,20,5,3,2,5,13,19,14,18,18,15,5,6,True
전남,나주시,403,9,638,143,468,2022,33,55,63,55,69,68,60,5,4,9,26,46,46,37,44,63,64,42,17,False
전북,김제시,448,24,691,206,484,2018,36,56,79,69,60,80,68,5,5,7,32,56,55,58,47,64,63,39,17,True
전남,나주시,447,13,703,132,548,2021,34,74,70,68,67,78,56,7,6,9,24,49,46,46,65,61,68,37,29,False
부산,사상구,1100,13,1528,311,964,2019,103,161,166,177,153,184,156,44,21,32,54,126,100,118,127,163,151,90,74,False
대구,달성군,945,23,1393,269,1053,2020,95,141,135,148,153,153,120,21,12,21,51,85,84,105,112,148,154,106,46,False
경북,김천시,428,17,603,183,391,2022,37,67,71,63,62,56,72,9,7,7,24,57,43,55,48,60,50,37,31,True
인천,부평구,1278,16,1709,326,1336,2019,158,171,189,173,191,184,212,63,45,51,60,119,110,127,137,153,168,144,101,False
전남,완도군,170,12,245,43,193,2020,15,24,27,30,34,17,23,4,2,3,8,16,21,26,33,16,29,10,2,False
전남,화순군,309,5,556,102,430,2021,32,45,48,39,55,50,40,5,1,2,21,36,44,38,36,50,51,14,11,False
경남,거창군,242,8,324,145,172,2018,27,45,32,31,32,39,36,9,3,4,10,26,32,24,24,40,32,25,13,True
전남,여수시,1567,27,2408,410,1930,2019,171,201,207,250,237,270,231,57,29,36,117,149,151,179,190,220,193,148,98,False
전북,고창군,127,19,186,73,109,2018,17,22,16,22,13,13,24,1,1,4,10,16,16,11,13,20,16,12,7,True
전남,해남군,300,12,423,122,289,2022,29,48,43,44,44,55,37,4,2,3,15,46,41,32,28,55,33,24,17,True
대전,대덕구,862,6,1249,233,983,2021,66,145,105,141,121,161,123,20,12,13,47,113,90,95,109,115,128,73,47,False
경기,의정부시,1695,13,2479,418,1812,2020,187,258,243,227,277,237,266,79,35,52,75,158,155,162,178,213,249,217,122,False
전남,곡성군,122,7,184,49,128,2020,12,16,21,19,22,13,19,1,1,2,7,17,16,23,14,14,15,10,2,True
경남,하동군,116,10,148,71,74,2020,16,16,22,19,14,13,16,3,2,3,7,20,15,9,17,18,15,6,1,True
충남,계룡시,47,2,72,18,53,2022,4,4,9,6,10,8,6,1,0,2,0,8,5,6,5,7,5,5,3,True
경북,경산시,1239,22,1683,396,1215,2019,135,200,173,189,202,186,154,45,32,30,72,133,107,135,140,141,194,126,84,False
전남,여수시,1357,22,2035,353,1653,2021,138,211,195,179,197,237,200,31,17,22,73,144,127,158,192,190,182,138,83,False
전남,강진군,289,9,532,129,360,2021,35,37,41,44,42,51,39,5,7,5,17,34,39,47,43,41,26,18,7,False
